Qualtrics.RID,Block,Choice.Task,Alternative,Chosen.Alternative,Choice.Binary,chemical,training,support,cost,Demo_Age,Demo_Gender,Demo_Education,Demo_Education.Text,Farm_Land.Size,Farm_Tenure,Farm_Tenure.Text,Baseline_Fert.kg,Baseline_Herbicide,RecordedDate,Consent
R_0057EC8Tfuoc7wG,1,6,2,2,1,2,1,2,113,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,6,3,2,0,0,0,0,0,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,7,1,3,0,3,3,2,56,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,7,2,3,0,2,2,1,84,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,7,3,3,1,0,0,0,0,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,8,1,1,1,1,1,2,56,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,8,2,1,0,3,3,3,22,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,8,3,1,0,0,0,0,0,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_02iF8EM1YcNtHIG,1,1,1,2,0,1,2,1,84,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,1,2,2,1,2,3,3,56,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,1,3,2,0,0,0,0,0,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,2,1,1,1,2,3,3,56,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,2,2,1,0,3,2,2,56,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,2,3,1,0,0,0,0,0,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,3,1,1,1,3,2,1,113,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,3,2,1,0,1,1,3,22,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,3,3,1,0,0,0,0,0,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,4,1,3,0,2,2,2,84,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,4,2,3,0,1,3,1,56,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,4,3,3,1,0,0,0,0,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,5,1,2,0,1,2,2,11,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,5,2,2,1,2,1,1,11,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,5,3,2,0,0,0,0,0,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,6,1,3,0,3,2,3,22,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,6,2,3,0,2,1,2,113,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,6,3,3,1,0,0,0,0,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,7,1,3,0,3,3,2,56,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,7,2,3,0,2,2,1,84,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,7,3,3,1,0,0,0,0,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,8,1,2,0,1,1,2,56,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,8,2,2,1,3,3,3,22,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02iF8EM1YcNtHIG,1,8,3,2,0,0,0,0,0,NA,1,6,NA,NA,1,NA,NA,NA,2026-07-30T20:29:51Z,1
R_02rD3DgVKrEDQou,2,10,1,3,0,2,3,3,113,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,10,2,3,0,3,1,1,11,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,10,3,3,1,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,11,1,2,0,2,3,1,11,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,11,2,2,1,3,1,3,113,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,11,3,2,0,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,12,1,3,0,1,1,3,11,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,12,2,3,0,3,3,2,113,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,12,3,3,1,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,13,1,3,0,3,1,2,22,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,13,2,3,0,1,2,1,84,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,13,3,3,1,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,14,1,3,0,3,3,1,22,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,14,2,3,0,1,2,3,84,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,14,3,3,1,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,15,1,2,0,3,1,3,113,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,15,2,2,1,2,3,2,11,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,15,3,2,0,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,16,1,3,0,2,1,1,84,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,16,2,3,0,1,3,2,22,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,16,3,3,1,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,9,1,1,1,1,3,1,113,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,9,2,1,0,2,2,3,11,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_02rD3DgVKrEDQou,2,9,3,1,0,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:29:55Z,1
R_08vppN6hFjPO66q,1,1,1,6,0,1,2,1,84,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,1,2,6,0,2,3,3,56,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,1,3,6,0,0,0,0,0,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,2,1,3,0,2,3,3,56,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,2,2,3,0,3,2,2,56,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,2,3,3,1,0,0,0,0,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,3,1,1,1,3,2,1,113,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,3,2,1,0,1,1,3,22,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,3,3,1,0,0,0,0,0,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,4,1,2,0,2,2,2,84,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,4,2,2,1,1,3,1,56,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,4,3,2,0,0,0,0,0,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,5,1,3,0,1,2,2,11,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,5,2,3,0,2,1,1,11,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,5,3,3,1,0,0,0,0,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,6,1,2,0,3,2,3,22,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,6,2,2,1,2,1,2,113,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,6,3,2,0,0,0,0,0,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,7,1,1,1,3,3,2,56,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,7,2,1,0,2,2,1,84,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,7,3,1,0,0,0,0,0,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,8,1,2,0,1,1,2,56,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,8,2,2,1,3,3,3,22,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_08vppN6hFjPO66q,1,8,3,2,0,0,0,0,0,NA,2,3,NA,5,2,NA,NA,NA,2026-07-30T22:54:06Z,1
R_09uJ8dMUyQiEgHs,2,10,1,3,0,2,3,3,113,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,10,2,3,0,3,1,1,11,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,10,3,3,1,0,0,0,0,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,11,1,1,1,2,3,1,11,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,11,2,1,0,3,1,3,113,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,11,3,1,0,0,0,0,0,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,12,1,2,0,1,1,3,11,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,12,2,2,1,3,3,2,113,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,12,3,2,0,0,0,0,0,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,13,1,2,0,3,1,2,22,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,13,2,2,1,1,2,1,84,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,13,3,2,0,0,0,0,0,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,14,1,3,0,3,3,1,22,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,14,2,3,0,1,2,3,84,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,14,3,3,1,0,0,0,0,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,15,1,1,1,3,1,3,113,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,15,2,1,0,2,3,2,11,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,15,3,1,0,0,0,0,0,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,16,1,3,0,2,1,1,84,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,16,2,3,0,1,3,2,22,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,16,3,3,1,0,0,0,0,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,9,1,1,1,1,3,1,113,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,9,2,1,0,2,2,3,11,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_09uJ8dMUyQiEgHs,2,9,3,1,0,0,0,0,0,NA,1,6,NA,NA,2,NA,NA,NA,2026-07-30T20:29:56Z,1
R_0BsWyALfi4jjFZA,2,10,1,3,0,2,3,3,113,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,10,2,3,0,3,1,1,11,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,10,3,3,1,0,0,0,0,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,11,1,1,1,2,3,1,11,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,11,2,1,0,3,1,3,113,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,11,3,1,0,0,0,0,0,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,12,1,3,0,1,1,3,11,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,12,2,3,0,3,3,2,113,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,12,3,3,1,0,0,0,0,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,13,1,2,0,3,1,2,22,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,13,2,2,1,1,2,1,84,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,13,3,2,0,0,0,0,0,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,14,1,1,1,3,3,1,22,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,14,2,1,0,1,2,3,84,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,14,3,1,0,0,0,0,0,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,15,1,1,1,3,1,3,113,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,15,2,1,0,2,3,2,11,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,15,3,1,0,0,0,0,0,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,16,1,1,1,2,1,1,84,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,16,2,1,0,1,3,2,22,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,16,3,1,0,0,0,0,0,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,9,1,3,0,1,3,1,113,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,9,2,3,0,2,2,3,11,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0BsWyALfi4jjFZA,2,9,3,3,1,0,0,0,0,NA,1,2,NA,NA,1,NA,NA,NA,2026-06-23T11:57:17Z,1
R_0Ch4Rq6gi5YV0fI,1,1,1,6,0,1,2,1,84,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,1,2,6,0,2,3,3,56,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,1,3,6,0,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,2,1,2,0,2,3,3,56,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,2,2,2,1,3,2,2,56,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,2,3,2,0,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,3,1,2,0,3,2,1,113,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,3,2,2,1,1,1,3,22,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,3,3,2,0,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,4,1,1,1,2,2,2,84,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,4,2,1,0,1,3,1,56,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,4,3,1,0,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,5,1,2,0,1,2,2,11,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,5,2,2,1,2,1,1,11,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,5,3,2,0,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,6,1,2,0,3,2,3,22,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,6,2,2,1,2,1,2,113,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,6,3,2,0,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,7,1,3,0,3,3,2,56,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,7,2,3,0,2,2,1,84,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,7,3,3,1,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,8,1,1,1,1,1,2,56,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,8,2,1,0,3,3,3,22,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0Ch4Rq6gi5YV0fI,1,8,3,1,0,0,0,0,0,NA,2,5,NA,NA,1,NA,NA,NA,2026-07-30T20:30:10Z,1
R_0DNYigGBkAA64qW,2,10,1,3,0,2,3,3,113,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
R_0DNYigGBkAA64qW,2,10,2,3,0,3,1,1,11,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
R_0DNYigGBkAA64qW,2,10,3,3,1,0,0,0,0,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
R_0DNYigGBkAA64qW,2,11,1,3,0,2,3,1,11,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
R_0DNYigGBkAA64qW,2,11,2,3,0,3,1,3,113,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
R_0DNYigGBkAA64qW,2,11,3,3,1,0,0,0,0,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
R_0DNYigGBkAA64qW,2,12,1,3,0,1,1,3,11,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
R_0DNYigGBkAA64qW,2,12,2,3,0,3,3,2,113,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
R_0DNYigGBkAA64qW,2,12,3,3,1,0,0,0,0,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
R_0DNYigGBkAA64qW,2,13,1,3,0,3,1,2,22,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
R_0DNYigGBkAA64qW,2,13,2,3,0,1,2,1,84,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
R_0DNYigGBkAA64qW,2,13,3,3,1,0,0,0,0,NA,1,2,NA,NA,2,NA,NA,NA,2026-07-30T20:29:57Z,1
