RecordedDate,Qualtrics.RID,Consent,Baseline_Fert.kg,Baseline_Herbicide,Choice.Task_1,Choice.Task_2,Choice.Task_3,Choice.Task_4,Choice.Task_5,Choice.Task_6,Choice.Task_7,Choice.Task_8,Choice.Task_9,Choice.Task_10,Choice.Task_11,Choice.Task_12,Choice.Task_13,Choice.Task_14,Choice.Task_15,Choice.Task_16,Demo_Age,Demo_Gender,Demo_Education,Demo_Education.Text,Farm_Land.Size,Farm_Tenure,Farm_Tenure.Text
2026-06-23 11:57:24,R_2tLxmfSFF9MGHUq,1,,,,,,,,,,,1,3,2,3,1,1,2,1,Culpa primis. Laoreet sed fusce purus dignissim. Elit? Ligula gravida platea metus.,3,5,,,3,
2026-06-23 11:57:25,R_6PuzpkOyNLM2CA6,1,,,2,2,2,1,2,2,3,2,,,,,,,,,"Velit phasellus duis dictumst, rutrum? Odio turpis dolor magna atque fermentum imperdiet nonummy.",3,1,,,1,
2026-06-23 11:57:26,R_5tCeAcQZsaf9I0e,1,,,,,,,,,,,1,1,2,1,1,3,1,1,Primis a tortor montes sed temporibus faucibus sit a magna cras.,2,5,,,4,"Mattis natoque vitae curabitur. Volutpat ligula dapibus purus vivamus leo, rhoncus primis, aliquam morbi laoreet."
2026-06-23 11:57:27,R_bEkvP7ZfduW1Jqe,1,,,5,2,3,1,3,3,2,2,,,,,,,,,"Integer duis faucibus leo rutrum risus, nunc vulputate. Proin atque fusce? Nec neque velit! Nullam.",3,5,,,2,
2026-06-23 11:57:27,R_dnjJUamHq6c2NJc,1,,,3,1,3,2,3,2,2,2,,,,,,,,,Lacus nonummy? Egestas nunc felis curabitur quam porttitor diam scelerisque. Sodales.,1,3,,,3,
2026-06-23 11:57:27,R_e2qo8isxafcaUxU,1,,,,,,,,,,,1,3,3,3,1,1,1,2,"Lacus. Wisi. Vestibulum ullamcorper facilisis ut duis vehicula dignissim risus, pharetra pretium urna.",1,7,Mauris aliquam. Placerat nibh accumsan. Nec eros bibendum. Natoque tempora etiam tempor commodo fusce.,,4,Ac nonummy! Iaculis wisi iaculis suscipit sit? Nonummy proin arcu iaculis. Dignissim dapibus? Molestie risus.
2026-06-23 11:57:28,R_8GNYHSSN3ZEbY3Q,1,,,,,,,,,,,3,2,3,3,3,1,1,2,Atque vestibulum? Risus vehicula amet vehicula sollicitudin euismod volutpat magna! Cursus. Et.,1,2,,,3,
2026-06-23 11:57:30,R_5gS6ZsfdgRunguq,1,,,3,2,1,1,1,2,3,3,,,,,,,,,"Sem, mi vel. Pellentesque pellentesque etiam mi rutrum commodo justo dapibus posuere elit.",1,7,"Laoreet, tortor? Curabitur pharetra, fringilla eros wisi sapien ridiculus sollicitudin cras ultricies at accumsan.",,3,
2026-06-23 11:57:31,R_9Ww1MZ448R0uKz4,1,,,,,,,,,,,3,2,1,2,1,2,1,1,Tempora vitae? Lacus tempor! Sed potenti metus? Dui integer porttitor tincidunt? Mi aliquam lorem.,1,2,,,4,Ullamcorper? In augue donec! Sit dolorem nunc dolorem purus eget mauris quis purus suscipit.
2026-07-06 20:22:25,R_6zpR0Y6G2SDnMr2,1,,,,,,,,,,,2,2,3,3,2,2,2,3,18,1,1,,,2,
2026-07-08 13:11:57,R_6eXBiUYQMYrdEOn,1,,,,,,,,,,,1,2,3,3,2,2,2,2,28,2,6,,,4,do not own or rent
2026-07-09 16:34:55,R_6paJQLxSWoSSdiR,1,200,200,,,,,,,,,,,2,2,3,2,3,3,,,,,,,
2026-07-09 16:35:03,R_6V8ujgvNXS91eAe,1,,,2,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
2026-07-13 11:04:46,R_6d8bHoABmeO14Od,1,25,112g,2,2,3,3,2,3,3,2,,,,,,,,,30,2,6,,,4,na
2026-07-15 13:30:55,R_enG6Yn41Jke6Oou,1,Commodo dui bibendum pede iaculis. Mauris malesuada facilisis. Tempor? Rhoncus fusce tellus nonummy vivamus.,Donec eu natoque massa curabitur curabitur id? Tempora odio? Metus.,6,2,3,2,2,3,2,2,,,,,,,,,Laoreet arcu eleifend fusce lacus nulla. Consequat velit aliquet? At.,1,1,,,2,
2026-07-15 13:30:56,R_3QKX6iXx8H2RJm6,1,"Cursus. Sed dapibus montes velit commodo ac auctor fringilla, magna facilisi rutrum.","Imperdiet, suscipit est! Temporibus lacus accumsan luctus eleifend ante orci donec. Platea ullamcorper luctus.",2,2,1,1,2,1,3,1,,,,,,,,,Lorem? Lectus. Tempor sit vehicula turpis. Primis euismod fringilla donec elit.,3,6,,,2,
2026-07-15 13:30:56,R_el01lOfuE1PqPDE,1,Erat ullamcorper? Volutpat blandit blandit natoque risus temporibus posuere placerat urna? Euismod luctus augue pede.,"Morbi sapien praesent! Auctor mauris, dolor sagittis eleifend iaculis porta wisi.",,,,,,,,,3,1,1,1,2,3,1,3,"Dui felis, sit etiam. Platea. Vivamus pharetra tempor ac? Placerat. Ab.",1,7,Vestibulum ultrices praesent est vulputate euismod. Donec nibh ac vulputate vestibulum sollicitudin porta sollicitudin.,,4,Ac sed potenti tellus? Odio eu. Montes aenean! Turpis! Dolor.
2026-07-15 13:30:57,R_bDDTi6QsVYwt578,1,Iaculis! Commodo dui nec vulputate laoreet accumsan quis sem. Fermentum? Lectus.,Tortor culpa erat per cursus. Fringilla eu dolorem. Viverra tellus! Sodales duis donec.,,,,,,,,,1,1,2,1,3,1,2,1,"Aliquam diam gravida? Faucibus ultrices iaculis viverra, aenean posuere aenean dui dignissim vulputate integer.",3,2,,,3,
2026-07-15 13:30:58,R_5AtPekUZI6RjGv4,1,Fringilla consectetuer id tincidunt felis interdum etiam donec sem temporibus mauris? Pharetra.,"Wisi aenean aliquam dui pretium. Nulla nibh accusamus nunc, sed! Aliquet primis pharetra.",2,3,3,2,1,2,3,1,,,,,,,,,Quam sollicitudin! Turpis malesuada blandit tempora suspendisse. Non pellentesque facilisi egestas curabitur eros.,1,2,,,3,
2026-07-15 13:30:58,R_6Qhhi1vs8bMpVki,1,Primis. Elementum mi augue lectus vitae sapien nulla laoreet tempora porttitor vehicula est montes pellentesque.,"Dapibus luctus tempor dapibus mauris magnis. Purus, integer elit euismod ante in amet suspendisse.",,,,,,,,,3,3,1,3,2,1,1,3,"Pretium vel laoreet vehicula sollicitudin donec tempor sem, natoque mi iaculis urna, phasellus wisi! Rhoncus.",1,2,,,1,
2026-07-15 13:30:59,R_5iqmL77r6ftvgPk,1,"Laoreet facilisis! Elementum in wisi? Metus consectetuer ab! Rutrum fermentum, iaculis nunc! Lacus fringilla.",Odio et cursus dignissim interdum vel? Mauris egestas sagittis? Diam wisi facilisis primis.,5,2,2,3,2,2,1,2,,,,,,,,,"Leo urna, pede placerat mattis morbi ridiculus arcu lorem mauris.",2,1,,,3,
2026-07-15 13:31:00,R_8IZIoH74xoWvEBE,1,Velit nunc est? Culpa? Praesent morbi volutpat aliquam. Magnis ullamcorper eu.,Fringilla! Velit tortor ac ipsum augue pharetra. Ultricies ullamcorper molestie et vel? Porta dapibus.,5,3,1,1,3,1,3,1,,,,,,,,,Mauris a. Dignissim aenean consectetuer per primis in iaculis felis dapibus ante dolorem lorem.,1,4,,,1,
2026-07-15 13:31:00,R_cvF5wOc4y21SO10,1,Id at accusamus. Quis molestie arcu pharetra vitae odio duis justo! Scelerisque euismod. Primis blandit.,Temporibus. Quam lacus blandit a faucibus! Magna mauris suscipit mi scelerisque velit placerat tempor.,,,,,,,,,1,1,3,3,2,1,1,3,Pellentesque cras turpis etiam euismod? Vivamus etiam cursus. At potenti! Interdum atque quam curabitur.,1,1,,,3,
2026-07-15 13:31:00,R_etUkTTL6n5POgaW,1,"Mattis eu suspendisse platea lorem aliquam, et in ipsum. Primis ac aliquam arcu sollicitudin.","Iaculis elit rhoncus? Vitae non tempor sagittis facilisi, auctor pede ligula.",5,2,2,1,1,2,2,1,,,,,,,,,"Nibh sodales! Potenti tempus posuere lorem, amet lorem faucibus. Nullam.",2,6,,,4,Molestie cras. Facilisi integer eget elit purus. Consectetuer in donec aliquam.
2026-07-15 13:31:01,R_6D06hnoVBRBc26q,1,"Augue fusce dictumst, justo! Tellus faucibus venenatis commodo ab nullam pede.",Sollicitudin rhoncus potenti auctor metus ut vehicula mauris eleifend! Dictumst pede enim atque fermentum.,,,,,,,,,2,3,2,3,1,1,2,3,"Sem aliquet nulla nullam, rutrum justo neque quam nunc! Sapien placerat turpis. Etiam etiam.",2,2,,,1,
2026-07-15 13:31:01,R_1NZWfmOBuMKrIRo,1,Vulputate per laoreet. Elit rutrum consequat. Vitae consectetuer? Porttitor consequat elementum. Sapien faucibus viverra.,Consequat tempor praesent lectus. A ut? Cursus montes est. Vulputate wisi? Duis aliquet sed.,,,,,,,,,1,2,3,2,3,2,3,3,Dolorem ut euismod donec pretium augue cras volutpat. Culpa justo eros sed dignissim pede volutpat.,3,5,,,2,
2026-07-15 13:31:02,R_b3MkjSVT6SeHkzk,1,Vestibulum platea proin magnis. Suscipit fermentum dapibus erat nullam et.,Est tempora. Auctor cursus tempora leo dapibus rutrum. Morbi metus ante felis.,5,3,3,3,2,2,3,2,,,,,,,,,Nec sollicitudin proin tincidunt massa vel massa? Primis fringilla. Nibh.,3,6,,,3,
2026-07-15 13:31:02,R_1TzySVR5xWeZlbM,1,Egestas at praesent? Elit pede imperdiet fermentum justo. Luctus metus tempora praesent ultrices.,"Neque nunc sapien porttitor ultrices! Ac rhoncus justo euismod, metus maecenas vivamus nibh.",,,,,,,,,3,1,2,1,3,2,1,1,Porttitor odio malesuada scelerisque commodo suspendisse tempor venenatis dapibus ultrices.,2,2,,,1,
2026-07-15 13:31:03,R_b1axibfCxRuPCpo,1,Aliquam eget duis ut culpa tempor? Sem pretium! Id orci imperdiet vel.,Curabitur nunc vivamus? Mauris magnis ridiculus? Amet neque! Facilisis bibendum pharetra.,2,3,3,3,2,2,1,2,,,,,,,,,Vulputate. Mauris ultricies! Auctor vitae! Vulputate ullamcorper lectus nec felis posuere culpa.,2,2,,,2,
2026-07-15 13:31:03,R_6D3nl2bcwaBsncO,1,Atque porttitor. Ultrices. Elementum duis morbi neque viverra! Integer dictumst quam porttitor ridiculus elit consequat.,Luctus? Ante tortor augue ligula gravida in proin nibh facilisi sodales.,2,1,2,1,3,2,3,3,,,,,,,,,Nunc? Id augue vestibulum maecenas tempora faucibus faucibus. Erat! Justo amet aliquam morbi.,3,7,Facilisi consectetuer imperdiet sit aliquam! Neque? Neque mattis felis est platea.,,1,
2026-07-15 13:31:04,R_cOrbpOJct52hdpI,1,Molestie proin ipsum tincidunt vestibulum vulputate ut. Posuere platea sodales euismod ante.,Sit dapibus eget viverra fermentum eget quam bibendum auctor id? Urna cras.,,,,,,,,,3,3,2,3,3,1,1,1,Dictumst facilisi consectetuer pharetra integer ultricies augue nunc laoreet erat euismod atque enim at.,1,3,,,4,Faucibus tempor dignissim vehicula auctor. Ac molestie dolor! Erat praesent. Ullamcorper fermentum arcu.
2026-07-15 13:31:04,R_d1h5id9Hl1St5XM,1,"Consequat molestie, molestie eu, natoque placerat, ultricies maecenas est amet convallis. Pharetra.","Montes, suscipit primis arcu nunc ut sit. Morbi pellentesque potenti.",2,3,1,2,2,3,1,3,,,,,,,,,Augue faucibus! Faucibus. Ac ultrices elit aliquet. Wisi tempor suspendisse. Imperdiet sapien auctor.,1,6,,,2,
2026-07-15 13:31:05,R_a5eEWiMcPurjLbE,1,Neque. Urna quis neque pellentesque orci. Rhoncus suspendisse lorem! Donec! Tincidunt.,Dolorem malesuada tortor morbi per tincidunt phasellus massa vel dignissim. Iaculis mauris vulputate consectetuer.,,,,,,,,,2,1,2,3,1,3,1,1,"Posuere ullamcorper vel laoreet phasellus morbi, convallis integer pellentesque potenti orci.",2,5,,,4,Aenean magnis dignissim! Accumsan velit. Nibh morbi consequat metus nunc ullamcorper pede. Morbi? Felis. Id.
2026-07-15 13:31:05,R_7QB6ZbjZDHblm5M,1,Vivamus etiam atque tempor! Leo ante sagittis! Elementum mi est eget vivamus.,Potenti phasellus magnis molestie aliquet vivamus id tortor potenti nec sem consectetuer eu facilisi et.,,,,,,,,,2,2,1,2,3,3,2,2,Aliquam tempus dolor est scelerisque fringilla vehicula ipsum suspendisse tortor accusamus lectus arcu nibh.,3,4,,,4,"Aliquet mi maecenas orci, leo auctor turpis est. Sollicitudin natoque ultrices platea ante curabitur vulputate."
2026-07-15 13:31:06,R_d3TcZheV0HDX7Aq,1,"Dolor sed? Eu maecenas convallis, malesuada tempor curabitur primis elit vulputate scelerisque nibh magna mattis.",Iaculis integer vehicula. Potenti ullamcorper primis diam. Dolor wisi rutrum accumsan laoreet nec tempor.,,,,,,,,,2,3,3,3,3,2,2,2,"Vehicula magna, bibendum porta tempor placerat bibendum. Vehicula sodales venenatis.",2,2,,,2,
2026-07-15 13:31:08,R_8BPQWZCAgBvYFPU,1,Venenatis imperdiet dui pede. Eros augue justo orci lacus posuere nulla sit elit culpa.,"Non integer, diam aliquet sapien vitae? Metus suscipit pharetra culpa risus. Interdum.",,,,,,,,,3,2,2,1,3,2,1,1,"Vitae dolorem magna, mattis viverra faucibus dapibus? Aenean ac wisi vulputate vel.",2,5,,,3,
2026-07-15 13:31:08,R_cVlTjPFBiL5XO18,1,Magna! Ridiculus! Ullamcorper aliquam rhoncus porttitor! Risus lectus ab amet duis facilisi.,Massa porttitor? Enim ridiculus? Accumsan lectus mi pharetra vitae elementum sit justo gravida.,5,3,3,1,2,2,3,1,,,,,,,,,Sapien. Phasellus a. Ac scelerisque ab pharetra porttitor tempus mattis.,2,7,"Ipsum rhoncus nulla luctus nibh praesent lectus accumsan ridiculus dui magnis culpa purus, aenean.",,3,
2026-07-15 13:31:08,R_9Tv5WxarAR9q8su,1,"Nunc pede dolor venenatis dignissim pede enim temporibus, ultrices lacus volutpat nibh natoque commodo.",Sed malesuada turpis erat atque lorem temporibus curabitur ante tellus est viverra accumsan.,,,,,,,,,2,3,3,2,3,1,3,2,Dolor interdum tempora dignissim. Nonummy. Ac sollicitudin blandit ante facilisi? Facilisi metus malesuada iaculis.,1,1,,,1,
2026-07-15 13:31:09,R_2o8c3Z17wvTo8Ki,1,"Orci accumsan! Ipsum bibendum, consequat scelerisque facilisi amet accumsan sed.",Sollicitudin dolor. Fringilla nonummy sagittis odio laoreet convallis. Eu tempor praesent.,,,,,,,,,2,1,1,1,1,1,2,1,"Ultrices laoreet auctor! Praesent dictumst, arcu molestie. Vivamus facilisis. Rhoncus auctor ante volutpat nulla. Aliquet.",1,5,,,4,At imperdiet potenti maecenas montes sodales eros lorem integer! Non consequat.
2026-07-15 13:31:10,R_42xJOozrMe6uqW2,1,"Porta auctor nullam dolor, sapien a dolor arcu enim luctus gravida? Nonummy.",Fermentum porttitor curabitur convallis etiam ut dignissim auctor purus enim scelerisque duis ipsum.,,,,,,,,,3,3,2,3,2,2,2,3,Orci! Tempus rutrum culpa potenti. Felis. Eros eleifend est in? Eget enim.,2,5,,,4,Dolor? Mattis luctus venenatis facilisis imperdiet viverra sagittis fusce consectetuer.
2026-07-15 13:31:10,R_cXUMhbJmH2cDayW,1,Euismod nec urna eget fermentum malesuada erat massa montes. Pretium primis! Lorem pellentesque dignissim.,Donec porttitor facilisis ipsum. Fermentum est volutpat. Pretium eros velit curabitur molestie sed blandit pede.,,,,,,,,,2,3,3,1,1,1,2,2,Orci? Mattis fermentum quis mauris facilisis urna lectus. Porta ac facilisi ut.,3,4,,,2,
2026-07-15 13:31:11,R_0VUPAFHI543yGpg,1,Urna tortor velit vestibulum leo ut enim id! Vestibulum pretium viverra consectetuer! Etiam. Suspendisse.,Consequat tempor non! Dapibus. Dictumst erat neque mauris wisi blandit.,2,3,1,3,1,2,3,2,,,,,,,,,"Rhoncus dapibus. Posuere aliquet! Augue quam dictumst. Porttitor et, tincidunt? Morbi tempor molestie porttitor.",2,2,,,2,
2026-07-15 15:48:58,R_9zpwevlVgqSKwBu,1,,,2,3,2,2,2,3,3,2,2,2,3,3,3,3,2,2,30,2,7,Masters,,4,
2026-07-22 15:13:13,R_6CwWZ9Nn5hDjSfJ,1,200,25,5,,3,3,3,3,3,3,,,,,,,,,,,,,,,
2026-07-22 15:25:59,R_6QRv6kZ0hOg37jS,1,,,,,3,3,2,3,2,3,,,,,,,,,,,,,,,
2026-07-22 15:29:55,R_6KhTI1CYzQi7vwJ,1,,,,,,,,,,,,2,,,,,,,,,,,,,
2026-07-22 15:44:34,R_6Gk7dot1IDoOWXH,1,,,,,2,,,,,,,,,,,,,,,,,,,,
2026-07-22 20:41:10,R_4iJwx5HhURAYznP,1,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22 20:54:43,R_43m6OlEtVwhiFvH,1,,,,,,,,,,,3,3,3,,,,,,26,2,6,,,4,
2026-07-30 20:29:49,R_dbX4Kht5t1BtKwC,1,Tempor cursus dolorem tempor augue dolorem ab non montes dictumst blandit in blandit? Nibh tempora.,Quis lorem. Scelerisque id lacus potenti blandit bibendum tempus! Est odio.,5,3,1,1,2,3,2,2,,,,,,,,,"Molestie id curabitur lorem placerat erat augue sodales nullam purus iaculis? Dolor, luctus magnis proin.",1,4,,,2,
2026-07-30 20:29:50,R_6tiGU8Rj5HP0X8W,1,Vitae. Fermentum nulla. Ultrices dui. Mattis mattis sit cursus leo auctor.,Tincidunt integer iaculis malesuada. Facilisi pharetra a rhoncus eleifend dapibus dolor.,,,,,,,,,1,1,2,3,1,2,1,2,Auctor! Ac cras! Urna! Praesent bibendum commodo suscipit morbi blandit eu ab.,1,6,,,4,Fermentum dictumst venenatis vel amet culpa non ac molestie egestas? Dictumst ipsum. Placerat.
2026-07-30 20:29:50,R_4SYrWn9XBIVzN8W,1,"Platea. Accumsan, platea aenean dapibus? Auctor. Tincidunt temporibus at! Duis, tellus pellentesque. Commodo consectetuer.","Convallis eros gravida lectus! Lorem, nonummy elementum non vulputate? Donec luctus scelerisque purus leo praesent.",,,,,,,,,1,1,2,2,3,2,3,1,In. Enim nec elementum pede id curabitur nunc phasellus lorem dolor.,2,2,,,2,
2026-07-30 20:29:51,R_4190RPlryKeKTcO,1,"Enim tortor morbi vestibulum. Praesent pretium at, nulla? Potenti, sollicitudin quis mi tincidunt.","Mi phasellus lectus metus atque dui blandit. Egestas lorem, primis pellentesque egestas. Praesent.",2,1,1,2,1,1,2,1,,,,,,,,,Morbi platea! Eu commodo? Porta magnis nec vehicula duis vehicula elit metus euismod et? Orci.,3,7,Elit lectus risus. Sollicitudin proin scelerisque vestibulum! Proin turpis tellus.,,2,
2026-07-30 20:29:51,R_02iF8EM1YcNtHIG,1,Justo. Dolorem pellentesque cras ullamcorper ultricies? Non. Id at blandit.,Metus sit. Nulla sit? Suspendisse! Dui. Tempus amet amet? Volutpat euismod tortor dolorem per temporibus.,2,1,1,3,2,3,3,2,,,,,,,,,Accumsan cras egestas culpa. Dapibus pharetra pretium. At mi vehicula placerat.,1,6,,,1,
2026-07-30 20:29:52,R_ezJEPWdhNtb7Qdo,1,"Tempus? Amet, magna? Vitae duis suspendisse sagittis justo! Eleifend tempor ultrices rutrum nec morbi facilisis.","Vestibulum arcu eleifend primis, cras! Leo euismod ipsum maecenas ultricies, egestas pharetra et.",,,,,,,,,3,1,1,2,3,2,2,2,"Scelerisque? Orci morbi etiam! Odio! Consequat erat, venenatis neque culpa risus ullamcorper gravida. Proin per.",1,1,,,1,
2026-07-30 20:29:53,R_3K3fv6kySF9XmSy,1,Mi posuere tempora facilisis dolorem. Imperdiet metus. Culpa fringilla pede orci.,Fusce! Elit auctor. At. Per? Tellus! Pharetra. Quam magnis dui.,,,,,,,,,1,1,3,3,2,3,3,1,Rutrum gravida curabitur! Lacus ridiculus consectetuer nonummy! Tellus lorem. Risus aliquet id ac nec porttitor.,2,6,,,4,Nibh wisi vulputate quis augue? Proin convallis suspendisse ac convallis atque vel.
2026-07-30 20:29:53,R_3g90K6NL72TfFxc,1,Luctus phasellus nec enim primis! Eros volutpat tempus scelerisque ligula nunc mauris sodales.,Porta cursus gravida commodo risus nullam pharetra natoque faucibus erat venenatis purus in. Eu.,5,2,2,1,2,3,3,2,,,,,,,,,"Posuere. Aliquam, metus. Cras scelerisque suspendisse praesent nullam egestas tortor dolorem justo id suscipit.",1,4,,,3,
2026-07-30 20:29:54,R_0UH2Km99VJJ3CKi,1,Aliquet tempora et ipsum phasellus mauris praesent! Dolor? Bibendum per posuere vivamus rhoncus non lacus.,"Sollicitudin facilisis volutpat euismod morbi lacus. Justo vivamus, pharetra sem. Diam primis suscipit eget.",6,2,2,3,3,1,2,3,,,,,,,,,In phasellus sit sollicitudin eget scelerisque velit malesuada nibh integer nunc lorem.,1,6,,,1,
2026-07-30 20:29:54,R_8jDADsCwwzgKMbc,1,Natoque sodales est faucibus dolor elementum tortor egestas ultricies convallis.,Diam aliquet platea? Cursus egestas commodo tincidunt ultrices bibendum? Porttitor pellentesque aenean volutpat id.,5,3,2,2,3,1,3,1,,,,,,,,,"Sit! Praesent, velit ligula blandit aenean fermentum blandit leo. Consectetuer mattis at.",2,6,,,1,
2026-07-30 20:29:55,R_4GgOeqb13p3wosK,1,Felis eu aliquam culpa donec viverra nullam velit porta faucibus.,"Laoreet neque etiam potenti? Ab sapien. Et vivamus, lorem massa! Aliquet purus.",6,2,2,2,3,3,1,3,,,,,,,,,Lectus faucibus sollicitudin est! In? Scelerisque ultrices amet at quam.,1,5,,,4,Facilisi! Nibh! Nunc vestibulum. Wisi nibh tortor arcu augue nunc viverra nibh vitae.
2026-07-30 20:29:55,R_8FVnmsHlH81jFOK,1,"Maecenas tincidunt pellentesque malesuada! Iaculis, fermentum magnis sed volutpat metus.","Ligula nulla? Fusce montes nulla. Fusce dui tempor? Sem, tempora platea faucibus, proin.",,,,,,,,,3,1,2,1,3,1,3,1,Id aliquet sed rhoncus orci erat pede lacus egestas dolor vehicula et sed nunc.,2,7,Blandit lacus accusamus imperdiet cursus mi et atque aenean mattis atque ultrices justo curabitur.,,1,
2026-07-30 20:29:55,R_02rD3DgVKrEDQou,1,Temporibus dui! Vivamus mauris dapibus viverra justo? Ut vitae rhoncus donec.,"Aliquet platea? Est nec tempus scelerisque nullam, dolorem metus culpa eu. Amet fringilla ridiculus.",,,,,,,,,1,3,2,3,3,3,2,3,Vulputate per lacus porttitor duis sit turpis eros eget amet rhoncus. Posuere rhoncus nibh. Diam.,2,5,,,1,
2026-07-30 20:29:56,R_6XX3UsYGw3uhKku,1,Pharetra. Etiam odio wisi nibh felis morbi convallis pretium phasellus felis viverra.,"Cras lectus amet eget! Phasellus enim. Ullamcorper morbi, commodo tortor ante facilisis ultricies odio.",6,2,2,2,2,1,1,1,,,,,,,,,"Velit rutrum neque leo iaculis, eu platea pharetra tincidunt tempora? Donec elit placerat fusce.",1,4,,,3,
2026-07-30 20:29:56,R_09uJ8dMUyQiEgHs,1,Ipsum vel etiam risus tempora faucibus. Egestas non ante commodo ridiculus viverra! Etiam.,"Auctor ultricies, orci! Eros culpa. Elit risus! Ridiculus magnis dictumst curabitur. Est consectetuer etiam.",,,,,,,,,1,3,1,2,2,3,1,3,"A atque? Tempora. Faucibus tempora enim eros primis pharetra montes praesent cras, dignissim. Magnis.",1,6,,,2,
2026-07-30 20:29:56,R_3ZS3HuDzhJEvBPg,1,"Ac turpis viverra id id magnis cursus orci, commodo laoreet. Magna dignissim ligula.",Et ridiculus vivamus pellentesque viverra dictumst faucibus iaculis sapien posuere pellentesque sed lacus viverra.,2,1,1,3,3,3,3,1,,,,,,,,,"Aliquam eros, culpa neque rutrum primis id volutpat? Fusce metus temporibus donec, volutpat ante nec.",2,1,,,4,Sapien. A? Suscipit maecenas lorem rutrum tempus et wisi elit.
